gene,category,n_residues,n_core,baseline_tm,blind_max_rmsd,status,transition_rmsd,best_single_overlap,cum_overlap_10,baseline_max_tm_s2,baseline_min_rmsd_s2,baseline_dual,single_mode_max_tm_s2,single_mode_min_rmsd_s2,single_mode_dual,subspace_max_tm_s2,subspace_min_rmsd_s2,subspace_dual,subspace_relax_max_tm_s2,subspace_relax_min_rmsd_s2,subspace_relax_dual,combo_max_tm_s2,combo_min_rmsd_s2,combo_dual,runtime_s
ABL1,autoinhibited,263,263,0.888145533018019,13.868648636685208,ok,4.965369156386104,0.34024957495040814,0.5950852661206799,0.8904568637737762,4.894324372531347,True,0.888145533018019,4.965369156386104,True,0.888145533018019,4.965369156386104,True,0.888145533018019,4.868350026998512,True,0.8904568637737762,4.868350026998512,True,1.0
SRC,autoinhibited,449,449,0.19769202317403123,18.216599395641556,ok,23.198103700637276,0.2649105272593704,0.4540584483553241,0.21805006009795652,22.841125061735582,False,0.22497196993974902,21.974279983846948,False,0.2520240625227486,21.580733343643445,False,0.28018045933870295,19.941319008724864,False,0.28018045933870295,19.941319008724864,False,2.2
HCK,autoinhibited,437,258,0.16998534811558372,18.022491939213527,ok,19.289812477223716,0.23814231562026278,0.34093068695647405,0.17014278673197097,19.27233909345985,False,0.17375080838960022,18.337625748183967,False,0.17375080838960022,18.845982963108888,False,0.1808077536738007,18.139005917260015,False,0.1808077536738007,18.139005917260015,False,2.0
FYN,autoinhibited,262,120,0.12571556865086908,13.827837077577701,ok,19.19663808188788,0.26977034877271455,0.5091718926827409,0.16312056550695528,17.103211258307578,False,0.17655129510149334,18.364249802416417,False,0.17019994023932744,18.036647860393582,False,0.18183580191851365,16.08077802182427,False,0.18183580191851365,16.08077802182427,False,1.0
LCK,autoinhibited,288,267,0.21967520876355798,14.185328557644453,ok,15.250190401472075,0.09791593512529059,0.15302385419335676,0.24086076176056306,15.182105703290816,False,0.24092668208582912,14.856218543655483,False,0.24192380757805848,14.856218543655483,False,0.2522198631943166,14.60190782177293,False,0.2522198631943166,14.60190782177293,False,1.1
PTPN6,autoinhibited,504,504,0.19087604970515393,19.22869957400685,ok,23.334002335365856,0.22970007228010839,0.3100489229602562,0.38665489180765966,17.72713852760017,False,0.33142299707077383,21.598468512981654,False,0.34075995268597753,21.598468512981654,False,0.3475071121796012,20.577917649384673,False,0.38665489180765966,17.72713852760017,False,2.6
EGFR,autoinhibited,311,278,0.8592094041185209,14.915749435590712,ok,3.9284326123439417,0.3111787533196184,0.27129037430133485,0.8614742014941175,3.901468333051703,True,0.8743428948034553,3.750857372562863,True,0.8838514229638702,3.792284433165873,True,0.8885805728174838,3.439301074357067,True,0.8885805728174838,3.439301074357067,True,1.3
PTK2,autoinhibited,611,266,0.7091546881988571,23.20338336959217,ok,4.706495999917012,0.22826711515440018,0.42797958914133777,0.7099567741640421,4.6881209970877,True,0.7091546881988571,4.706495999917011,True,0.7091546881988571,4.680641513117351,True,0.7091546881988571,4.6615687004912765,True,0.7099567741640421,4.6615687004912765,True,3.4
STAT3,autoinhibited,558,501,0.9888046954259733,25.950722106533846,ok,0.8538433417008529,0.1584927821058673,0.2760567388166577,0.9890392909359597,0.8446332936023168,True,0.9891760798347172,0.8393402260856346,True,0.9889880843118652,0.8466794985566816,True,0.9890919284269476,0.84241536700212,True,0.9890919284269476,0.84241536700212,True,3.1
CBS,autoinhibited,498,486,0.3694267310583475,21.519969034072126,ok,14.447454851119673,0.4848493639127363,0.5906559236169997,0.43112686846174125,12.554876766265753,False,0.44775049877977524,11.155726030559185,False,0.44775049877977524,11.81629036028557,False,0.45384950362663967,11.768269578626764,False,0.45384950362663967,11.768269578626764,False,2.6
WAS,autoinhibited,107,59,0.05269521523625161,11.468451824601694,ok,15.149232693517291,0.19523874002243105,0.3332497725361579,0.05284069066957728,15.113838061545845,False,0.07755741221948836,14.352549338435509,False,0.07234232240799597,14.763036560302929,False,0.0667411265477027,14.159869606364241,False,0.0667411265477027,14.159869606364241,False,0.4
