Gene,N_res,N_common,S1↔S2_RMSD,S1↔S2_TM,Ens_minRMSD_S2,Ens_maxTM_S2,RMSD_Improvement,Improvement_%,Dual_State,AF3_imfdRMSD,Time_s
ABL1,263,263,4.965369156386103,0.888145533018019,4.882146914984718,0.8904568637737762,0.0832222414013852,1.6760534570596977,True,3.2,34.474353075027466
AK1,214,214,7.116560833522565,0.5647823511451634,6.766109460283879,0.5844902039344312,0.3504513732386867,4.924448500290832,True,3.8,30.469359636306763
BRAF,289,247,13.15581171360081,0.3227399810819206,12.803079577139902,0.3344607158204025,0.3527321364609079,2.681188695458788,False,3.7,33.319053173065186
CBS,498,486,14.447454851119671,0.3694267310583474,12.554876766265757,0.4311268684617412,1.892578084853916,13.099733512627951,False,7.8,28.171410083770752
EGFR,311,278,3.928432612343941,0.8592094041185209,3.901468333051703,0.8614742014941175,0.0269642792922377,0.6863877264309047,True,2.1,30.4681715965271
FGFR1,149,149,18.193093023329947,0.0910912348648615,16.415981440662566,0.1285617913431442,1.777111582667381,9.768056373858466,False,2.3,67.07856059074402
FYN,262,108,18.03880123371198,0.0670544598928219,16.373727238483287,0.0978043433883315,1.665073995228692,9.23051356714826,False,3.5,30.626964330673218
HCK,437,258,19.28981247722372,0.1699853481155837,19.27233909345985,0.1701427867319709,0.0174733837638676,0.0905834817445695,False,4.1,26.57571244239807
JAK1,281,252,19.498425232257315,0.156932288102506,19.184074959118814,0.1597435265700647,0.3143502731385013,1.6121828783303709,False,6.2,33.98643660545349
KIT,297,286,5.470927405858188,0.8527414033023324,5.420956721815866,0.8572970398025876,0.0499706840423215,0.9133859825815576,True,2.5,32.85233473777771
LCK,288,267,15.250190401472077,0.2196752087635579,15.100754335041644,0.240860761760563,0.1494360664304341,0.9798963979886398,False,3.9,35.7715220451355
PTK2,611,266,4.706495999917011,0.7091546881988571,4.6881209970877,0.709956774164042,0.0183750028293108,0.3904178996356274,True,5.3,31.95033359527588
PTPN6,504,504,23.33400233536586,0.1908760497051538,17.72713852760017,0.3866548918076598,5.606863807765688,24.028727378962,False,6.7,28.66413903236389
SRC,449,449,23.19810370063728,0.1976920231740312,22.84112506173558,0.2180500600979565,0.3569786389017011,1.5388268088994468,False,2.8,26.793800592422485
STAT3,558,501,0.8538433417008524,0.9888046954259732,0.8446332936023168,0.9890392909359595,0.0092100480985356,1.078657834373841,True,4.5,31.16716170310974
WAS,107,59,15.14923269351729,0.0526952152362516,15.10968619488374,0.0528406906695772,0.03954649863355,0.2610462155649174,False,5.1,29.7504563331604
